STATISTICS
Misses:
Total: 83074 DataReads: 416 DataWrites: 82658
Miss rate:
Total: 0.8307 DataReads: 0.03695 DataWrites: 0.9314
Number of Dirty Blocks Evicted from the Cache: 82562

CACHE CONTENTS
Set   V  Tag       D  Words
0     1  0000027c  1  ffffffff
0     1  0000027b  1  ffffffff
0     1  0000027a  1  ffffffff
0     1  00000279  1  ffffffff
1     0  00000000  0  00000000
1     0  00000000  0  00000000
1     0  00000000  0  00000000
1     0  00000000  0  00000000
2     0  00000000  0  00000000
2     0  00000000  0  00000000
2     0  00000000  0  00000000
2     0  00000000  0  00000000
3     0  00000000  0  00000000
3     0  00000000  0  00000000
3     0  00000000  0  00000000
3     0  00000000  0  00000000
4     1  0000027a  1  ffffffff
4     1  00000279  1  ffffffff
4     1  0000027c  1  ffffffff
4     1  0000027b  1  ffffffff
5     0  00000000  0  00000000
5     0  00000000  0  00000000
5     0  00000000  0  00000000
5     0  00000000  0  00000000
6     0  00000000  0  00000000
6     0  00000000  0  00000000
6     0  00000000  0  00000000
6     0  00000000  0  00000000
7     0  00000000  0  00000000
7     0  00000000  0  00000000
7     0  00000000  0  00000000
7     0  00000000  0  00000000
8     1  0000027c  1  ffffffff
8     1  0000027b  1  ffffffff
8     1  0000027a  1  ffffffff
8     1  00000279  1  ffffffff
9     0  00000000  0  00000000
9     0  00000000  0  00000000
9     0  00000000  0  00000000
9     0  00000000  0  00000000
a     0  00000000  0  00000000
a     0  00000000  0  00000000
a     0  00000000  0  00000000
a     0  00000000  0  00000000
b     0  00000000  0  00000000
b     0  00000000  0  00000000
b     0  00000000  0  00000000
b     0  00000000  0  00000000
c     1  0000027a  1  ffffffff
c     1  00000279  1  ffffffff
c     1  0000027c  1  ffffffff
c     1  0000027b  1  ffffffff
d     0  00000000  0  00000000
d     0  00000000  0  00000000
d     0  00000000  0  00000000
d     0  00000000  0  00000000
e     0  00000000  0  00000000
e     0  00000000  0  00000000
e     0  00000000  0  00000000
e     0  00000000  0  00000000
f     0  00000000  0  00000000
f     0  00000000  0  00000000
f     0  00000000  0  00000000
f     0  00000000  0  00000000
10    1  0000027c  1  ffffffff
10    1  0000027b  1  ffffffff
10    1  0000027a  1  ffffffff
10    1  00000279  1  ffffffff
11    0  00000000  0  00000000
11    0  00000000  0  00000000
11    0  00000000  0  00000000
11    0  00000000  0  00000000
12    0  00000000  0  00000000
12    0  00000000  0  00000000
12    0  00000000  0  00000000
12    0  00000000  0  00000000
13    0  00000000  0  00000000
13    0  00000000  0  00000000
13    0  00000000  0  00000000
13    0  00000000  0  00000000
14    1  0000027a  1  ffffffff
14    1  00000279  1  ffffffff
14    1  0000027c  1  ffffffff
14    1  0000027b  1  ffffffff
15    0  00000000  0  00000000
15    0  00000000  0  00000000
15    0  00000000  0  00000000
15    0  00000000  0  00000000
16    0  00000000  0  00000000
16    0  00000000  0  00000000
16    0  00000000  0  00000000
16    0  00000000  0  00000000
17    0  00000000  0  00000000
17    0  00000000  0  00000000
17    0  00000000  0  00000000
17    0  00000000  0  00000000
18    1  0000027a  1  ffffffff
18    1  00000279  1  ffffffff
18    1  0000027c  1  ffffffff
18    1  0000027b  1  ffffffff
19    0  00000000  0  00000000
19    0  00000000  0  00000000
19    0  00000000  0  00000000
19    0  00000000  0  00000000
1a    0  00000000  0  00000000
1a    0  00000000  0  00000000
1a    0  00000000  0  00000000
1a    0  00000000  0  00000000
1b    0  00000000  0  00000000
1b    0  00000000  0  00000000
1b    0  00000000  0  00000000
1b    0  00000000  0  00000000
1c    1  0000027a  1  ffffffff
1c    1  00000279  1  ffffffff
1c    1  0000027c  1  ffffffff
1c    1  0000027b  1  ffffffff
1d    0  00000000  0  00000000
1d    0  00000000  0  00000000
1d    0  00000000  0  00000000
1d    0  00000000  0  00000000
1e    0  00000000  0  00000000
1e    0  00000000  0  00000000
1e    0  00000000  0  00000000
1e    0  00000000  0  00000000
1f    0  00000000  0  00000000
1f    0  00000000  0  00000000
1f    0  00000000  0  00000000
1f    0  00000000  0  00000000
20    1  0000027a  1  ffffffff
20    1  00000279  1  ffffffff
20    1  0000027c  1  ffffffff
20    1  0000027b  1  ffffffff
21    0  00000000  0  00000000
21    0  00000000  0  00000000
21    0  00000000  0  00000000
21    0  00000000  0  00000000
22    0  00000000  0  00000000
22    0  00000000  0  00000000
22    0  00000000  0  00000000
22    0  00000000  0  00000000
23    0  00000000  0  00000000
23    0  00000000  0  00000000
23    0  00000000  0  00000000
23    0  00000000  0  00000000
24    1  0000027a  1  ffffffff
24    1  00000279  1  ffffffff
24    1  0000027c  1  ffffffff
24    1  0000027b  1  ffffffff
25    0  00000000  0  00000000
25    0  00000000  0  00000000
25    0  00000000  0  00000000
25    0  00000000  0  00000000
26    0  00000000  0  00000000
26    0  00000000  0  00000000
26    0  00000000  0  00000000
26    0  00000000  0  00000000
27    0  00000000  0  00000000
27    0  00000000  0  00000000
27    0  00000000  0  00000000
27    0  00000000  0  00000000
28    1  0000027a  1  ffffffff
28    1  00000279  1  ffffffff
28    1  0000027c  1  ffffffff
28    1  0000027b  1  ffffffff
29    0  00000000  0  00000000
29    0  00000000  0  00000000
29    0  00000000  0  00000000
29    0  00000000  0  00000000
2a    0  00000000  0  00000000
2a    0  00000000  0  00000000
2a    0  00000000  0  00000000
2a    0  00000000  0  00000000
2b    0  00000000  0  00000000
2b    0  00000000  0  00000000
2b    0  00000000  0  00000000
2b    0  00000000  0  00000000
2c    1  0000027a  1  ffffffff
2c    1  00000279  1  ffffffff
2c    1  0000027c  1  ffffffff
2c    1  0000027b  1  ffffffff
2d    0  00000000  0  00000000
2d    0  00000000  0  00000000
2d    0  00000000  0  00000000
2d    0  00000000  0  00000000
2e    0  00000000  0  00000000
2e    0  00000000  0  00000000
2e    0  00000000  0  00000000
2e    0  00000000  0  00000000
2f    0  00000000  0  00000000
2f    0  00000000  0  00000000
2f    0  00000000  0  00000000
2f    0  00000000  0  00000000
30    1  0000027a  1  ffffffff
30    1  00000279  1  ffffffff
30    1  0000027c  1  ffffffff
30    1  0000027b  1  ffffffff
31    0  00000000  0  00000000
31    0  00000000  0  00000000
31    0  00000000  0  00000000
31    0  00000000  0  00000000
32    0  00000000  0  00000000
32    0  00000000  0  00000000
32    0  00000000  0  00000000
32    0  00000000  0  00000000
33    0  00000000  0  00000000
33    0  00000000  0  00000000
33    0  00000000  0  00000000
33    0  00000000  0  00000000
34    1  0000027a  1  ffffffff
34    1  00000279  1  ffffffff
34    1  00000278  1  ffffffff
34    1  0000027b  1  ffffffff
35    0  00000000  0  00000000
35    0  00000000  0  00000000
35    0  00000000  0  00000000
35    0  00000000  0  00000000
36    0  00000000  0  00000000
36    0  00000000  0  00000000
36    0  00000000  0  00000000
36    0  00000000  0  00000000
37    0  00000000  0  00000000
37    0  00000000  0  00000000
37    0  00000000  0  00000000
37    0  00000000  0  00000000
38    1  0000027a  1  ffffffff
38    1  00000279  1  ffffffff
38    1  00000278  1  ffffffff
38    1  0000027b  1  ffffffff
39    0  00000000  0  00000000
39    0  00000000  0  00000000
39    0  00000000  0  00000000
39    0  00000000  0  00000000
3a    0  00000000  0  00000000
3a    0  00000000  0  00000000
3a    0  00000000  0  00000000
3a    0  00000000  0  00000000
3b    0  00000000  0  00000000
3b    0  00000000  0  00000000
3b    0  00000000  0  00000000
3b    0  00000000  0  00000000
3c    1  0000027a  1  ffffffff
3c    1  00000279  1  ffffffff
3c    1  00000278  1  ffffffff
3c    1  0000027b  1  ffffffff
3d    0  00000000  0  00000000
3d    0  00000000  0  00000000
3d    0  00000000  0  00000000
3d    0  00000000  0  00000000
3e    0  00000000  0  00000000
3e    0  00000000  0  00000000
3e    0  00000000  0  00000000
3e    0  00000000  0  00000000
3f    0  00000000  0  00000000
3f    0  00000000  0  00000000
3f    0  00000000  0  00000000
3f    0  00000000  0  00000000
40    1  00000278  1  ffffffff
40    1  0000027b  1  ffffffff
40    1  0000027a  1  ffffffff
40    1  00000279  1  ffffffff
41    0  00000000  0  00000000
41    0  00000000  0  00000000
41    0  00000000  0  00000000
41    0  00000000  0  00000000
42    0  00000000  0  00000000
42    0  00000000  0  00000000
42    0  00000000  0  00000000
42    0  00000000  0  00000000
43    0  00000000  0  00000000
43    0  00000000  0  00000000
43    0  00000000  0  00000000
43    0  00000000  0  00000000
44    1  0000027a  1  ffffffff
44    1  00000279  1  ffffffff
44    1  00000278  1  ffffffff
44    1  0000027b  1  ffffffff
45    0  00000000  0  00000000
45    0  00000000  0  00000000
45    0  00000000  0  00000000
45    0  00000000  0  00000000
46    0  00000000  0  00000000
46    0  00000000  0  00000000
46    0  00000000  0  00000000
46    0  00000000  0  00000000
47    0  00000000  0  00000000
47    0  00000000  0  00000000
47    0  00000000  0  00000000
47    0  00000000  0  00000000
48    1  00000278  1  ffffffff
48    1  0000027b  1  ffffffff
48    1  0000027a  1  ffffffff
48    1  00000279  1  ffffffff
49    0  00000000  0  00000000
49    0  00000000  0  00000000
49    0  00000000  0  00000000
49    0  00000000  0  00000000
4a    0  00000000  0  00000000
4a    0  00000000  0  00000000
4a    0  00000000  0  00000000
4a    0  00000000  0  00000000
4b    0  00000000  0  00000000
4b    0  00000000  0  00000000
4b    0  00000000  0  00000000
4b    0  00000000  0  00000000
4c    1  00000278  1  ffffffff
4c    1  0000027b  1  ffffffff
4c    1  0000027a  1  ffffffff
4c    1  00000279  1  ffffffff
4d    0  00000000  0  00000000
4d    0  00000000  0  00000000
4d    0  00000000  0  00000000
4d    0  00000000  0  00000000
4e    0  00000000  0  00000000
4e    0  00000000  0  00000000
4e    0  00000000  0  00000000
4e    0  00000000  0  00000000
4f    0  00000000  0  00000000
4f    0  00000000  0  00000000
4f    0  00000000  0  00000000
4f    0  00000000  0  00000000
50    1  00000278  1  ffffffff
50    1  0000027b  1  ffffffff
50    1  0000027a  1  ffffffff
50    1  00000279  1  ffffffff
51    0  00000000  0  00000000
51    0  00000000  0  00000000
51    0  00000000  0  00000000
51    0  00000000  0  00000000
52    0  00000000  0  00000000
52    0  00000000  0  00000000
52    0  00000000  0  00000000
52    0  00000000  0  00000000
53    0  00000000  0  00000000
53    0  00000000  0  00000000
53    0  00000000  0  00000000
53    0  00000000  0  00000000
54    1  00000278  1  ffffffff
54    1  0000027b  1  ffffffff
54    1  0000027a  1  ffffffff
54    1  00000279  1  ffffffff
55    0  00000000  0  00000000
55    0  00000000  0  00000000
55    0  00000000  0  00000000
55    0  00000000  0  00000000
56    0  00000000  0  00000000
56    0  00000000  0  00000000
56    0  00000000  0  00000000
56    0  00000000  0  00000000
57    0  00000000  0  00000000
57    0  00000000  0  00000000
57    0  00000000  0  00000000
57    0  00000000  0  00000000
58    1  00000278  1  ffffffff
58    1  0000027b  1  ffffffff
58    1  0000027a  1  ffffffff
58    1  00000279  1  ffffffff
59    0  00000000  0  00000000
59    0  00000000  0  00000000
59    0  00000000  0  00000000
59    0  00000000  0  00000000
5a    0  00000000  0  00000000
5a    0  00000000  0  00000000
5a    0  00000000  0  00000000
5a    0  00000000  0  00000000
5b    0  00000000  0  00000000
5b    0  00000000  0  00000000
5b    0  00000000  0  00000000
5b    0  00000000  0  00000000
5c    1  0000027c  1  ffffffff
5c    1  0000027b  1  ffffffff
5c    1  0000027a  1  ffffffff
5c    1  00000279  1  ffffffff
5d    0  00000000  0  00000000
5d    0  00000000  0  00000000
5d    0  00000000  0  00000000
5d    0  00000000  0  00000000
5e    0  00000000  0  00000000
5e    0  00000000  0  00000000
5e    0  00000000  0  00000000
5e    0  00000000  0  00000000
5f    0  00000000  0  00000000
